ticket_id,text,label
1,Support team is not responding. I am frustrated.,Complaint
2,Mobile app keeps logging me out. Kindly resolve ASAP.,Technical Support
3,My account is locked. It has been 3 days already.,Account Access
4,Package was damaged during delivery. It has been 3 days already.,Shipping Problem
5,Shipment is delayed. It has been 3 days already.,Shipping Problem
6,Please reset my password. It has been 3 days already.,Account Access
7,The tracking number is not working. It has been 3 days already.,Shipping Problem
8,My order has not arrived yet. Kindly resolve ASAP.,Shipping Problem
9,This is unacceptable. This is urgent.,Complaint
10,Website is not loading properly.,Technical Support
11,The tracking number is not working. Kindly resolve ASAP.,Shipping Problem
12,Mobile app keeps logging me out.,Technical Support
13,My invoice shows an incorrect amount. Kindly resolve ASAP.,Billing Issue
14,Do you offer warranty for this product? I am frustrated.,Product Inquiry
15,Please add dark mode. It has been 3 days already.,Feature Request
16,My order has not arrived yet. Please help quickly.,Shipping Problem
17,My invoice shows an incorrect amount.,Billing Issue
18,I had a terrible experience. It has been 3 days already.,Complaint
19,The app crashes when I open it.,Technical Support
20,Can you explain how this product works? Please help quickly.,Product Inquiry
21,Two-factor authentication is not working. Kindly resolve ASAP.,Account Access
22,I suggest adding a dashboard feature. It has been 3 days already.,Feature Request
23,Add integration with Google Drive.,Feature Request
24,Add integration with Google Drive. Please help quickly.,Feature Request
25,Mobile app keeps logging me out. I am frustrated.,Technical Support
26,Please add dark mode.,Feature Request
27,I suggest adding a dashboard feature. I am frustrated.,Feature Request
28,Do you offer warranty for this product? It has been 3 days already.,Product Inquiry
29,Does this support Android devices?,Product Inquiry
30,I am getting a server error. I am frustrated.,Technical Support
31,Please add dark mode. This is urgent.,Feature Request
32,Can you explain how this product works? Kindly resolve ASAP.,Product Inquiry
33,Mobile app keeps logging me out. This is urgent.,Technical Support
34,I am getting a server error. This is urgent.,Technical Support
35,I was charged twice for my subscription. Kindly resolve ASAP.,Billing Issue
36,Delivery address was changed without notice. It has been 3 days already.,Shipping Problem
37,It would be great to have offline access. Kindly resolve ASAP.,Feature Request
38,Login OTP is not arriving. This is urgent.,Account Access
39,Delivery address was changed without notice. Please help quickly.,Shipping Problem
40,Payment failed but money was deducted. This is urgent.,Billing Issue
41,The app crashes when I open it. This is urgent.,Technical Support
42,I am getting a server error. This is urgent.,Technical Support
43,Please add dark mode. This is urgent.,Feature Request
44,Payment failed but money was deducted. It has been 3 days already.,Billing Issue
45,The system freezes after login. Kindly resolve ASAP.,Technical Support
46,My account is locked. This is urgent.,Account Access
47,Delivery address was changed without notice. This is urgent.,Shipping Problem
48,I had a terrible experience.,Complaint
49,Do you offer warranty for this product? I am frustrated.,Product Inquiry
50,Two-factor authentication is not working. I am frustrated.,Account Access
51,Login OTP is not arriving. Kindly resolve ASAP.,Account Access
52,Support team is not responding. I am frustrated.,Complaint
53,Two-factor authentication is not working. It has been 3 days already.,Account Access
54,Please introduce push notifications. Kindly resolve ASAP.,Feature Request
55,"The product did not meet expectations, refund me.",Refund Request
56,This is unacceptable. Please help quickly.,Complaint
57,I suggest adding a dashboard feature. It has been 3 days already.,Feature Request
58,Two-factor authentication is not working.,Account Access
59,Website is not loading properly. It has been 3 days already.,Technical Support
60,I am getting a server error. This is urgent.,Technical Support
61,My order has not arrived yet. This is urgent.,Shipping Problem
62,Please introduce push notifications. It has been 3 days already.,Feature Request
63,I returned the item but haven't received my refund. Kindly resolve ASAP.,Refund Request
64,Account was suspended without reason. Please help quickly.,Account Access
65,Why was I billed after cancellation? Please help quickly.,Billing Issue
66,The app crashes when I open it. I am frustrated.,Technical Support
67,Delivery address was changed without notice. This is urgent.,Shipping Problem
68,Login OTP is not arriving. Kindly resolve ASAP.,Account Access
69,Is this product compatible with Windows? Please help quickly.,Product Inquiry
70,The system freezes after login. Please help quickly.,Technical Support
71,I suggest adding a dashboard feature. This is urgent.,Feature Request
72,Why was I billed after cancellation?,Billing Issue
